"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"FFD","FİBA PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,1981","-","-","2,5884","-","-","-"
"GPP","GARANTI PORTFÖY 2023 SERBEST(DÖVİZ- ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GFF","GARANTI PORTFÖY 2023 SERBEST(DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GGP","GARANTİ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,6593","-","-","-","-","-","-"
"GGN","GARANTİ PORTFÖY AYDOĞAN SERBEST(DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GZP","GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"GZV","GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"GGM","GARANTİ PORTFÖY GMS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,6811","5,8890","13,9013","4,0111","-","-","-"
"GSS","GARANTİ PORTFÖY INN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GZJ","GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-","-","-","-","-","-","-"
"GJH","GARANTİ PORTFÖY KISA VADELİ  SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GTZ","GARANTİ PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,5497","-2,8480","-","-4,4316","-","-","-"
"GKK","GARANTİ PORTFÖY KTT SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GFL","GARANTİ PORTFÖY MİA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GFY","GARANTİ PORTFÖY OL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GGZ","GARANTİ PORTFÖY ONBİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","0,7073","4,1582","-","2,3525","-","-","-"
"GGR","GARANTİ PORTFÖY ONİKİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GZD","GARANTİ PORTFÖY ONÜCÜNCÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GZB","GARANTİ PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"OPP","GARANTİ PORTFÖY ÖPY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,7700","4,6951","15,3281","3,8548","-","-","-"
"GZR","GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,4060","-","-","-","-","-","-"
"GZH","GARANTİ PORTFÖY TEMİZ ENERJİ KARMA FON","Karma Şemsiye Fonu","-12,1674","-","-","-","-","-","-"
"GTY","GARANTİ PORTFÖY TREND SERBEST FON","Serbest Şemsiye Fonu","-4,0889","-","-","-","-","-","-"
"GKL","GARANTİ PORTFÖY YF HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-0,0940","11,1468","35,3170","-0,0598","-","-","-"
"GGV","GARANTİ PORTFÖY 2021 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"HAG","GARANTİ PORTFÖY 2022 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"HFF","GARANTİ PORTFÖY 2024 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"HNN","GARANTİ PORTFÖY 2025 SERBEST(DÖVİZ ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GGK","GEDİK PORTFÖY  ALTIN FON","Kıymetli Madenler Şemsiye Fonu","-1,4421","-11,5504","-13,1098","-9,5967","-","-","-"
"GEI","GEDİK PORTFÖY EVEREST SERBEST FON","Serbest Şemsiye Fonu","2,3204","89,5172","136,1156","56,9725","-","-","-"
"GMZ","GEDİK PORTFÖY MZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,0545","14,7833","38,7313","6,9904","-","-","-"
"GZN","GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"GZM","GLOBAL MD PORTFÖY DİNAMİK SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"HYK","HEDEF PORTFÖY AKDENİZ SERBEST FON","Serbest Şemsiye Fonu","-1,9675","6,4306","-","6,2571","-","-","-"
"NNF","HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","5,2557","32,3777","78,2267","17,8241","-","-","-"
"HMK","HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,2071","53,1773","217,9297","26,7999","-","-","-"
"HMR","HEDEF PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","-","-","-","-","-","-","-"
"HYV","HEDEF PORTFÖY PARA PIYASASI FONU","Para Piyasası Şemsiye Fonu","1,1888","-","-","-","-","-","-"
"HII","HSBC PYŞ BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,0928","-94,9048","-94,7854","-68,7011","-","-","-"
"HMG","HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,7891","-","-","-","-","-","-"
"IB2","IBG FONUNA BAĞLı YAN HESAP (TRFDGOZ71915)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IB3","IBG FONUNA BAĞLı YAN HESAP (TRSAEST91812)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IB1","IBG FONUNA BAĞLI YAN HESAP (TRSPKPB41717)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IR1","IBR FONUNA BAĞLI YAN HESAP (TRFDGOZ71915)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"ICV","ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IZS","İSTANBUL PORTFÖY ALTINCI SERBEST FON","Serbest Şemsiye Fonu","4,7809","13,0919","14,9626","13,9100","-","-","-"
"IDP","İSTANBUL PORTFÖY DOĞAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IMF","İSTANBUL PORTFÖY MAESTRO SERBEST FON","Serbest Şemsiye Fonu","1,3094","3,1759","9,7947","1,8213","-","-","-"
"IFY","İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,2633","4,0383","6,3714","2,6640","-","-","-"
"IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","4,0273","29,1514","62,9321","12,5977","-","-","-"
"IZV","İSTANBUL PORTFÖY YEDİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"IYP","İSTANBUL PORTFÖY YILDIZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
