"oncekifiyat","tarih","fonkodu","fonadi","fiyat","paysayisi","kisisayisi","toplamdeger","tarih","fonkodu","fonadi","bankabonosu","diger","dovizodemebono","devlettahvili","dovizodemetahvil","eurobond","finansmanbonosu","fonkatilmabelgesi","gayrimenkulsertifikasi","hazinebonosu","hissesenedi","kamudisiborcaraclari","katilimhesabi","kamukirasertifikalari","kiymetlimadenler","ozelsektorkirasertifikalari","ozelsektortahvili","repo","turevaraclari","tpp","tersrepo","varligadaymenkulkiymetler","vadelimevduat","yabanciborclanmaaraclari","yabancihissesenedi","yabancimenkulkiymet"
,2021-01-04,AGC,AK PORTFÖY AGI DEĞİŞKEN FON,1.350913,90102256,1077.0,121720266.96,2021-01-04,AGC,AK PORTFÖY AGI DEĞİŞKEN FON,0,0,0,3.86,0,86.04,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,2.85,0,0.28,0,0,0
,2021-01-04,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),2.112483,8683999.0,81.0,18344804.27,2021-01-04,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),0,0,0,0,0,0,0,2.2,0,0,84.33,0,0,0,0,0,0,0,3.71,9.76,0,0,0,0,0,0
,2021-01-04,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,8.600824,4594997.0,25.0,39520761.59,2021-01-04,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,0,0,0,0,89.95,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0.26,0.42,-8.57,0,9.76,0,0,0
,2021-01-04,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,1.76582,31777300,272.0,56113006.61,2021-01-04,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0,0,0,0,0,0,40.27,0,0,0,0,0,0,0,0,0,51.12,0,0,8.61,0,0,0,0,0,0
,2021-01-04,AHV,AZİMUT PYŞ DENGELİ SERBEST FON,2.105506,82420499,203.0,173536868.65,2021-01-04,AHV,AZİMUT PYŞ DENGELİ SERBEST FON,0,0,0,0,0,0,0,89.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,9.93
,2021-01-04,AHZ,AZİMUT PYŞ ATAK SERBEST FON,2.287388,8844875.0,33.0,20231664.68,2021-01-04,AHZ,AZİMUT PYŞ ATAK SERBEST FON,0,0,0,0,0,0,0,94.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66
,2021-01-04,AIG,AZİMUT PORTFÖY İA SERBEST ÖZEL FON,2.941551,8598970.0,10.0,25294306.92,2021-01-04,AIG,AZİMUT PORTFÖY İA SERBEST ÖZEL FON,0,0,0,19,0,47.92,0,9.45,0,0,0,0,0,0,0,0,0.6,0,0.13,0,0,0,1.84,0,21.06,0
,2021-01-04,AIH,AK PORTFÖY RTH SERBEST ÖZEL FON,1.861238,58931737,4.0,109686005.12,2021-01-04,AIH,AK PORTFÖY RTH SERBEST ÖZEL FON,0,0,0,0,0,7.78,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0.04,0,0,13.89,0,2.06,0
,2021-01-04,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,9.609808,5438400.0,3.0,52261978.39,2021-01-04,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2021-01-04,AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,2.003349,43543576,4.0,87232987.54,2021-01-04,AIM,AK PORTFÖY MİMKA SERBEST ÖZEL FON,0,0,0,0,0,5.39,0,0,0,0,66.02,0,0,0,0,0,0,0,0,0.2,0,0,14.55,0,13.84,0
