"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"10.03.2021","TIE","İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,071525","504.525.854,00","1.699","36.086.278,65"
"10.03.2021","TIP","TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM SERBEST (DÖVİZ) ÖZEL FON","7,823396","7.537.541,00","53","58.969.171,76"
"10.03.2021","TIV","İŞ PORTFÖY KISA VADELI BORÇLANMA ARAÇLARI FONU","11,358648","311.705.909,00","86.076","3.540.557.667,69"
"10.03.2021","TI1","İŞ PORTFÖY PARA PİYASASI FONU","303,054094","19.891.873,00","85.348","6.028.313.543,57"
"10.03.2021","TI2","İŞ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","81,096166","702.121,40","1.622","56.939.353,28"
"10.03.2021","TI3","İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","111,558835","1.708.053,00","2.275","190.548.402,97"
"10.03.2021","TI4","İŞ PORTFÖY BİRİNCİ DEĞIŞKEN FON","91,856411","1.223.011,00","3.161","112.341.400,52"
"10.03.2021","TI6","İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","122,519634","1.197.194,91","4.635","146.679.882,18"
"10.03.2021","TI7","İŞ PORTFÖY İKİNCİ DEĞİŞKEN FON","10,759871","19.748.473,00","4.935","212.491.028,17"
"10.03.2021","TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","7,141119","119.148.040,00","150","850.850.372,24"
"10.03.2021","TKK","İŞ PORTFÖY KUMBARA HESABI KARMA ÖZEL FON","0,225506","2.117.583.700,00","166.778","477.527.417,62"
"10.03.2021","TKM","TEB PORTFÖY PARA PİYASASI FONU","412,828526","2.368.436,00","13.944","977.757.941,69"
"10.03.2021","TLE","AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","3,325827","28.585.923,00","66","95.071.823,90"
"10.03.2021","TLH","AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","2,444908","11.733.013,00","45","28.686.141,66"
"10.03.2021","TLY","TERA PORTFÖY BİRİNCİ SERBEST FON","0,000000","0,00","0","0,00"
"10.03.2021","TLZ","ATA PORTFÖY ANALİZ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","1,573415","8.503.616,00","0","13.379.720,46"
"10.03.2021","TMC","İŞ PORTFÖY TEMA  DEĞİŞKEN FON","0,028479","229.618.452,00","1.588","6.539.364,05"
"10.03.2021","TMG","İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU","0,120743","913.361.932,00","2.362","110.282.188,82"
"10.03.2021","TMO","TEB PORTFÖY TEB GRUBU DEĞİŞKEN ÖZEL FON","0,000000","0,00","0","0,00"
"10.03.2021","TMR","TEB PORTFÖY MAKRO SERBEST FON","1,002741","4.075.000,00","0","4.086.168,81"
"10.03.2021","TNI","TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON","1,208298","114.672.547,00","438","138.558.573,41"
"10.03.2021","TNK","TEB PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","7,035095","73.795.571,00","26.742","519.158.834,31"
"10.03.2021","TOT","TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","187,461622","435.912,00","614","81.716.770,50"
"10.03.2021","TPC","TEB PORTFÖY BİRİNCİ FON SEPETİ FONU","1,669674","61.078.115,00","450","101.980.570,48"
"10.03.2021","TPE","İŞ PORTFÖY PY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU","0,061303","9.246.036.820,00","69","566.805.987,87"
"10.03.2021","TPF","TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU","2,207539","19.243.364,00","86","42.480.482,09"
"10.03.2021","TPJ","TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","9,225590","30.220.403,00","188","278.801.040,36"
"10.03.2021","TPL","TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","2,745562","22.789.688,00","706","62.570.494,10"
"10.03.2021","TPO","İŞ PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU","0,030630","2.674.360.143,00","7","81.915.224,82"
"10.03.2021","TPP","TEB PORTFÖY PUSULA SERBEST FON","3,233932","20.932.000,00","70","67.692.674,07"
"10.03.2021","TPR","İŞ PORTFÖY PY HİSSE SENEDİ ÖZEL FONU (HİSSE SENEDİ YOĞUN FON)","0,025516","1.213.514.641,00","4","30.964.233,97"
"10.03.2021","TPV","AURA PORTFÖY İKİNCİ DEĞİŞKEN FON","2,213150","2.440.044,00","18","5.400.183,50"
"10.03.2021","TPZ","TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU","3,294181","6.425.000,00","268","21.165.115,12"
"10.03.2021","TRR","TEB PORTFÖY BEŞİNCİ SERBEST FON","1,104437","50.927.785,00","7","56.246.530,68"
"10.03.2021","TSI","İŞ PORTFÖY MAKSİMUM HESAP KISA VADELI BORÇLANMA ARAÇLARI FONU","0,042839","62.901.728.718,00","96.087","2.694.619.487,78"
"10.03.2021","TSP","AZİMUT PORTFÖY TESA SERBEST (DÖVİZ) ÖZEL FON","7,451468","15.456.375,00","0","115.172.689,08"
"10.03.2021","TTA","İŞ PORTFÖY ALTIN FONU","0,045098","12.123.761.734,00","12.436","546.751.367,43"
"10.03.2021","TTE","İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,152014","3.839.863.496,00","13.700","583.714.892,26"
"10.03.2021","TTL","TACİRLER PORTFÖY KARTOPU SERBEST FON","1,955661","121.111.489,00","0","236.852.989,88"
"10.03.2021","TTN","AZİMUT PORTFÖY TESA SERBEST ÖZEL FON","1,044176","17.220.599,00","0","17.981.328,79"
"10.03.2021","TTP","TEB PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","7,736410","12.514.462,00","73","96.817.007,11"
"10.03.2021","TTS","TEB PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","7,708060","18.125.312,00","1","139.710.991,51"
"10.03.2021","TTV","TACİRLER PORTFÖY VEGA SERBEST FON","1,138955","120.434.036,00","0","137.168.896,88"
"10.03.2021","TUA","TEB PORTFÖY ALTIN FONU","0,097666","2.695.354.954,21","5.000","263.245.132,32"
"10.03.2021","TYH","TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,149337","234.547.212,44","1.312","35.026.584,37"
"10.03.2021","TZC","ZİRAAT PORTFÖY BÜYÜYEN ÇOCUKLARA YÖNELİK DEĞİŞKEN ÖZEL FON","0,027656","135.855.500,00","1.206","3.757.203,56"
