"Tarih","Fon Kodu","Fon Adı","Fiyat","Tedavüldeki Pay Sayısı","Kişi Sayısı","Fon Toplam Değer"
"01.04.2021","HMT","AZİMUT PORTFÖY 12.0 SERBEST FON","1,046790","15.743.797,00","7","16.480.449,86"
"01.04.2021","HNN","GARANTİ PORTFÖY 2025 SERBEST(DÖVİZ ABD DOLARI) FON","0,000000","0,00","0","0,00"
"01.04.2021","HOA","HSBC PORTFÖY ÇOKLU VARLIK ÜÇÜNCÜ DEĞİŞKEN FON","0,024489","782.065.286,00","313","19.152.338,24"
"01.04.2021","HOB","HSBC PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","0,024077","665.796.859,00","254","16.030.492,18"
"01.04.2021","HOY","HSBC PORTFÖY YABANCI BYF FON SEPETI","0,047549","7.845.474.629,00","1.775","373.041.695,27"
"01.04.2021","HPC","ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON","1,410361","431.016.977,00","1","607.889.505,55"
"01.04.2021","HPD","HSBC PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","0,032481","2.872.539.269,00","1.552","93.301.982,98"
"01.04.2021","HPF","HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİS.SEN.YOĞ.FON)","10,895229","5.272.603,00","12","57.446.215,20"
"01.04.2021","HPO","HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON","0,028385","8.579.115.806,00","2.686","243.520.749,42"
"01.04.2021","HPT","HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,023749","13.593.936.240,00","13.352","322.842.368,22"
"01.04.2021","HPV","ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","1,569920","186.857.711,00","151.359","293.351.572,54"
"01.04.2021","HSA","HSBC PORTFÖY DEĞİŞKEN FON","144,343518","3.009.886,00","1.382","434.457.533,71"
"01.04.2021","HSL","HSBC PORTFÖY PARA PİYASASI FONU","79,480528","15.074.320,00","19.910","1.198.114.911,62"
"01.04.2021","HST","HSBC PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","0,249666","34.627.467,00","3.328","8.645.315,96"
"01.04.2021","HTT","HSBC PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","0,523097","7.139.100,00","300","3.734.439,31"
"01.04.2021","HVS","HSBC PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","0,087155","639.673.699,00","568","55.750.635,26"
"01.04.2021","HVV","AK PORTFÖY HERAKLES SERBEST (DÖVİZ) ÖZEL FON","8,624443","32.999.080,00","1","284.598.679,22"
"01.04.2021","HYK","HEDEF PORTFÖY AKDENİZ SERBEST FON","1,202864","9.016.015,00","7","10.845.041,69"
"01.04.2021","HYP","AZİMUT PORTFÖY İVME SERBEST FON","1,063890","254.747.925,00","221","271.023.863,51"
"01.04.2021","HYV","HEDEF PORTFÖY PARA PIYASASI FONU","1,026837","38.895.784,00","8.139","39.939.646,59"
"01.04.2021","HYY","AK PORTFÖY HERAKLES SERBEST ÖZEL FON","0,956297","303.610.830,00","1","290.342.056,03"
"01.04.2021","IAF","İSTANBUL PORTFÖY ARK I SERBEST FON","0,070248","1.059.530.289,32","52","74.430.294,75"
"01.04.2021","IAR","İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON","5,215108","15.368.145,00","34","80.146.538,29"
"01.04.2021","IAS","QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","0,093982","2.498.441.291,00","2","234.807.880,69"
"01.04.2021","IAT","İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","0,040363","1.745.005.583,67","862","70.433.067,14"
"01.04.2021","IBB","İŞ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","1,715249","57.411.495,00","2.960","98.475.037,45"
"01.04.2021","IBC","İŞ PORTFÖY CENOVA SERBEST ÖZEL FON","1,892596","25.511.130,00","4","48.282.262,02"
"01.04.2021","IBD","İŞ PORTFÖY BAYRAKTARLAR HOLDİNG DEĞİŞKEN ÖZEL FON","0,114927","6.442.204.980,00","2","740.382.989,12"
"01.04.2021","IBE","İSTANBUL PORTFÖY BEŞİNCİ SERBEST FON","1,224008","97.362.240,00","5","119.172.117,52"
"01.04.2021","IBK","İŞ PORTFÖY MAXIMUM KART KISA VADELİ BORÇLANMA ARAÇLARI FONU","0,025341","2.831.895.687,00","123.510","71.764.208,38"
"01.04.2021","IBR","AZİMUT PYŞ MUTLAK GETİRİ HEDEFLİ SERBEST FON","0,036192","304.710.000,00","1","11.028.144,14"
"01.04.2021","ICA","ICBC TURKEY PORTFÖY ALTIN FONU","0,042941","1.235.320.000,00","1.290","53.045.568,56"
"01.04.2021","ICC","ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON","0,133878","17.674.470,00","80","2.366.228,43"
"01.04.2021","ICD","ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON","20,524673","139.580,00","52","2.864.833,92"
"01.04.2021","ICE","ICBC TURKEY PORTFOY PARA PİYASASI FONU","23,418549","8.132.813,00","4.949","190.458.678,02"
"01.04.2021","ICF","ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","11,791207","37.290,00","52","439.694,11"
